MF Pb,MF Zn,MF Fe,PbFC Pb,PbFC ZN,PbFC Fe,ZRF Pb,ZRF Zn,ZRF Fe,ZRT A Pb,ZRT A Zn,ZRT A Fe,ZRT B Pb,ZRT B Zn,ZRT B Fe,ZRT Comb Pb,ZRT Comb Zn,ZRT Comb Fe,Z1RC Pb,Z1RC Zn,Z1RC Fe,Z2RC Pb,Z2RC Zn,Z2RC Fe,ZRCC Pb,ZRCC Zn,ZRCC Fe,value,qualityName_id
5.2458934784,13.497014999,5.4422984123,55.410709381,11.606258392,7.1280002594,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.465496063,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,0.3892795,2
5.2458934784,13.497014999,5.4422984123,55.410709381,11.606258392,7.1280002594,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.465496063,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,3.575363,1
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.465496063,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,0.390899,2
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798282354,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,1.069023,1
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,0.3339716,2
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,2.051966,1
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.857028961,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,0.13112089999999998,2
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.964633942,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.221212387,14.158090591,2.8032693863,26.109272003,8.2968492508,1.9136400000000002,1
5.2458934784,13.348228455,5.4422984123,55.041843414,12.22456646,8.3256502151,3.0963323116,17.964633942,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.536518097,13.973781586,2.8032693863,26.109272003,8.2968492508,0.03810328,2
5.3171004781,13.348228455,5.4422984123,55.165943146,11.460285187,6.2787051201,3.0963323116,17.964633942,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.536518097,13.973781586,2.8032693863,26.109272003,8.2968492508,1.005923,1
