id,uid,name
0,6F4570D5-C376-423D-910C-85622E4535A2,CameraImageCollection.DelayTimer
1,A8C2B9ED-1BAA-44CD-AB53-7B4B75FCA3E1,CameraImageCollection.DelayTimer.Del
2,B079851A-A4D2-4BFC-A594-270A0CE64D38,Air.Limit.Dynamic.DelayTimer.Del
3,E08A393B-ADB3-4ABD-B91B-C3833F40FE79,Air.Limit.Dynamic.Enable
4,881E4071-A943-4D55-9011-CA8C042B17CE,Air.Limit.Dynamic.Offset
5,4982E995-FA14-4B4C-9B5F-7BD757D2141E,RowA.Cell01.Agitator.RunStatus
6,CAA281F4-9A3A-45FA-8706-771A3C424451,RowA.Cell03.Camera.XVelocity
7,F83BEAE6-8FEA-40DF-A552-211710F12373,RowA.Cell01.Camera.Brightness.HL
8,2A1BC5C7-75B3-449C-80F2-5C6CF425196D,RowA.Cell01.Camera.Brightness.LL
9,6E2B425A-3422-40AB-8283-FB790D973ADD,RowA.Cell01.Camera.XVelocity
10,58EADD8C-2738-4728-AF10-6DC5B5E735C5,RowA.Cell01.Camera.Collapse
11,D89BB4C2-8BAA-4594-B613-E2B42D018F33,RowA.Cell01.Camera.D50
12,FEED9AD7-C811-44BE-90BB-0F0CF6A351A8,RowA.Cell01.Camera.Dirty
13,8966C1D7-D2C6-4C58-98EE-5AD61EACB339,RowA.Cell01.Camera.Disconnected
14,D50B3DF5-007C-45A2-A1ED-8DF142238212,RowA.Cell01.Camera.FrothStability
15,447B82C2-89ED-481D-AF79-FA1215DAC74D,RowA.Cell01.Camera.Frozen
16,21CE8EFF-EE04-4BD2-A9F3-EB65160064F9,RowA.Cell01.Camera.LAB.AX
17,F5E2D541-254B-468F-A061-4D3181DFFF9E,RowA.Cell01.Camera.LAB.BX
18,A3980B53-932E-4027-921E-AD838C740D0C,RowA.Cell01.Camera.LAB.Luminance
19,8F2D428F-3625-4BF8-A106-8EB652A204C3,RowA.Cell01.Camera.Load
20,D4B395D3-7819-4626-80F6-6E30D2D7B7B8,RowA.Cell01.Camera.LowFrames
21,F3111CFB-300B-45E7-BB73-66B377E778DC,RowA.Cell01.Camera.OK
22,49947F6A-3620-4D6D-8085-59BFE75BAD0F,RowA.Cell01.Camera.Texture
23,6B5730B0-2D52-41D1-829E-E99CC3D7EF3D,RowA.Cell01.Camera.Velocity
24,90ACD730-98BD-4B8E-A09C-D675C8B762AF,RowA.Cell01.Air.Control.Expert
25,8EABB0A3-C0B1-4EFD-957E-9B96AAE009D4,RowA.Cell01.Control.Ready
26,F80B0D22-B488-4E9F-AD0A-EB482D3546AC,RowA.Cell01.Air.ApplySP.Timer
27,6E554F62-D285-4250-8E47-DD537C1AF007,RowA.Cell01.Air.ApplySP.TimerResetValue
28,22ECFBCA-BFCD-428A-AA8C-4DEB9B6CCE06,RowA.Cell01.Air.HL.DelayTimer
29,6BAAC4C2-7B88-4AF5-B208-9992DE2A0BAB,RowA.Cell01.Air.HL.Dynamic
30,B4FDC3DD-3FD3-4317-94D8-FDD57732DA4B,RowA.Cell01.Air.LL.Dynamic
31,3A08A28C-ABB1-43E7-B374-FA144130052D,RowA.Cell01.Air.NSP
32,25DCDB65-7D43-4EE0-8479-1985236D1155,RowA.Cell01.Air.OUT
33,20B7CC93-CE11-4672-80EF-5CE4FAC7566D,RowA.Cell01.Air.OUT.Read
34,C1768926-5D11-4353-9C1A-525EB3F7A3E5,RowA.Cell01.Air.SP.Change.Em_Inc
35,8D2C3B30-CE9F-480D-9DEC-46C1FA4B3816,RowA.Cell01.Air.SP.Change.Em_Dec
36,F021E292-2A65-4C38-AEB7-0BB5452F696B,RowA.Cell01.Air.SP.Change.Lg_Inc
37,A98B0A9A-12B7-41A1-9795-0F7FAEDBA684,RowA.Cell01.Air.SP.Change.Lg_Dec
38,5987E770-5E19-4070-ABF7-1C795E68FD4A,RowA.Cell01.Air.SP.Change.Sm_Inc
39,CA289825-513E-4A63-898A-3F53EE86FE52,RowA.Cell01.Air.SP.Change.Sm_Dec
40,BBED7D2B-DA1A-4460-A956-C0A4DDF7D466,RowA.Cell01.Air.SP.Change.Nil
41,EC2337C2-F1AD-420E-975E-948B407D7E04,RowA.Cell01.Air.SP.Change
42,2F3138EA-54D8-4A86-BC22-0C9E6B558548,RowA.Cell01.Air.OUT.HL
43,880D32FA-A711-4AFA-8DD3-99E998B2471B,RowA.Cell01.Air.OUT.LL
44,E167AA62-CAD8-475E-BAE7-E11CB516CB2C,RowA.Cell01.Air.SP.MaxAntiwindup
45,F69917FB-8BDF-47B6-AB87-7A1F0A1D7C22,RowA.Cell01.Air.SP.MinAntiwindup
46,08DDEF50-7BBC-4B43-8898-A064427DAA63,RowA.Cell01.Air.SP.Previous
47,DAD2980E-745B-4176-A573-5BC16ACDF02D,RowA.Cell01.Air.WSP
48,A26542C9-4046-49BF-B342-4A6AF4F22666,RowA.Cell01.Velocity.PVminusSP.Fast
49,DEBF617D-6562-4C1A-BEDB-85C533CF0979,RowA.Cell01.Velocity.PVminusSP.Slow
50,BEA2FA86-D6A3-4EF5-A52F-C47ED4C6120B,RowA.Cell01.Velocity.PVminusSP.Ok
51,0F215398-6926-4C4A-9F19-3F8BD0ABC3BA,RowA.Cell01.Velocity.PVminusSP.Very_Fast
52,CBC60AD2-38F0-4F04-9C7F-FB6081549462,RowA.Cell01.Velocity.PVminusSP.Very_Slow
53,564388B8-3DC3-4597-A5D4-DC2B315DE9B7,RowA.Cell01.Velocity.PVminusSP
54,4107B17D-9BC0-4122-B882-11A410A1C452,RowA.Cell01.Velocity.RoC.Decreasing
55,BDCE4825-FC8B-47A1-9B31-E504E0CA9A0D,RowA.Cell01.Velocity.RoC.Increasing
56,A37C3BBC-CB96-4A78-9E72-A9878DD2901F,RowA.Cell01.Velocity.RoC.Stable
57,E785A7DD-96E9-45B5-BA87-A5962C7CE3A3,RowA.Cell01.Velocity.RoC
58,686FD097-E7FD-4FD7-B4B1-96C3607646BB,RowA.Cell01.Velocity.RSP
59,FF0219F7-0540-45C1-988A-CB15C27DAD77,RowA.Cell01.Velocity.PV
60,CD9711E9-7C57-4B5D-8061-F0846516341F,RowA.Cell01.VisioFroth.Cell01.XVelocity
61,3BA3EAB3-AEDF-488C-8802-E84A25E3C813,RowA.Cell01.VisioFroth.Cell01.YVelocity
62,67FCDECB-0B54-4183-BE79-219AD63E0680,RowA.Cell01.VisioFroth.Cell01.Velocity
63,D5E94FCA-1309-4459-AD5F-93F93D6F10AD,RowA.Cell01.VisioFroth.Cell01.Angle
64,B50D0A1D-266B-41B6-BA7F-A8CA5EE979A3,RowA.Cell01.VisioFroth.Cell01.Overlap
65,0DAEDCB5-2A27-42A6-B750-CF2A6608A444,RowA.Cell01.VisioFroth.Cell01.TopSize
66,41DC8C11-FA10-42F7-B765-E01DF7570CE9,RowA.Cell01.VisioFroth.Cell01.Stability
67,0B15CBDA-CEBB-4000-A213-9FFE22715E63,RowA.Cell01.VisioFroth.Cell01.Passing
68,B30F4CDA-FA46-4268-B4B9-7A5D83EB76DB,"RowA.Cell01.VisioFroth.Cell01.Passing(1,0)"
69,2B95B02B-2378-499D-8C2F-8E6F527CFA83,"RowA.Cell01.VisioFroth.Cell01.Passing(2,0)"
70,967FD5AD-5822-4CFC-84E9-AE45B8DBEA04,"RowA.Cell01.VisioFroth.Cell01.Passing(3,0)"
71,DAEED3B4-2330-427A-BA29-E0FB1B6A5177,"RowA.Cell01.VisioFroth.Cell01.Passing(4,0)"
72,47602B1E-996C-4B38-A9E5-083F6B164743,"RowA.Cell01.VisioFroth.Cell01.Passing(5,0)"
73,848A9E9C-E75B-4CAE-BB3D-BBC3067DA6F5,"RowA.Cell01.VisioFroth.Cell01.Passing(6,0)"
74,9A4D02C9-FC9C-4613-8032-E0B92E9FA944,"RowA.Cell01.VisioFroth.Cell01.Passing(7,0)"
75,400A2DF6-8166-4CAC-90E3-AF5D46CDDDE5,"RowA.Cell01.VisioFroth.Cell01.Passing(8,0)"
76,C61E107B-2E6B-46D4-B0C1-CF21A079542F,"RowA.Cell01.VisioFroth.Cell01.Passing(9,0)"
77,599EDCF6-5600-4117-AE45-A59F4DE5EBF0,RowA.Cell01.VisioFroth.Cell01.Individual
78,DA3043C7-4F48-425A-8B82-B4015C04420A,"RowA.Cell01.VisioFroth.Cell01.Individual(1,0)"
79,D6B21F88-A40A-488A-8D61-7579FAFEFF8A,"RowA.Cell01.VisioFroth.Cell01.Individual(2,0)"
80,7D485D79-28C9-4E16-A27A-12BEE7A57746,"RowA.Cell01.VisioFroth.Cell01.Individual(3,0)"
81,B40124E1-3345-4F7E-9FEB-2EFD68F02335,"RowA.Cell01.VisioFroth.Cell01.Individual(4,0)"
82,106060E4-7EC5-4F06-8F8E-89BBDAC4AF37,"RowA.Cell01.VisioFroth.Cell01.Individual(5,0)"
83,A90C575F-218A-4D43-B55C-F0ADADD9F3A2,"RowA.Cell01.VisioFroth.Cell01.Individual(6,0)"
84,1F9A1B08-BBE0-4020-8C10-F2FD860067D1,"RowA.Cell01.VisioFroth.Cell01.Individual(7,0)"
85,F32A9A39-69A3-4341-BE00-108F7DCACF92,"RowA.Cell01.VisioFroth.Cell01.Individual(8,0)"
86,E15F98D0-57B8-4719-A8AE-B1DB641108FA,"RowA.Cell01.VisioFroth.Cell01.Individual(9,0)"
87,CC2E96D4-C7C4-443E-A6D8-D8600777356D,RowA.Cell01.VisioFroth.Cell01.BubbleCount
88,276C1847-16CD-4FB3-9ECA-952FFA968327,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(1,0)"
89,EF5CAE91-F8D8-4424-864B-B594413AB217,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(2,0)"
90,A7A56A9A-E718-498F-B8B1-A99AC437F6BC,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(3,0)"
91,0661B9F4-8AD0-4431-9609-65C763A59F80,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(4,0)"
92,21E88A8E-D03D-45AD-B9F3-692147211086,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(5,0)"
93,65E291B3-C936-4E62-AA7A-B6CA78C98EFD,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(6,0)"
94,146BA949-F240-470C-B95D-A7FC1E95D8CD,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(7,0)"
95,2D023AE4-82D3-41EE-A6D9-3179B68E6069,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(8,0)"
96,56462B21-3479-4383-8AA2-6CAFFE2C0116,"RowA.Cell01.VisioFroth.Cell01.BubbleCount(9,0)"
97,390258FF-B7CF-4BEA-9DC2-E2671BC35E35,RowA.Cell01.VisioFroth.Cell01.pX
98,21A4FF32-F984-433A-9CEC-99C49764798E,"RowA.Cell01.VisioFroth.Cell01.pX(1,0)"
99,CD114D8E-8A9C-47D4-9A8E-A06E38278F80,"RowA.Cell01.VisioFroth.Cell01.pX(2,0)"
100,173372B6-5389-4805-B113-182A84B17EF9,"RowA.Cell01.VisioFroth.Cell01.pX(3,0)"
101,672E13FF-0125-4F1D-9DEA-5533C0C1870A,"RowA.Cell01.VisioFroth.Cell01.pX(4,0)"
102,1487CBAD-147D-4BEE-88F7-162BD51B6A38,"RowA.Cell01.VisioFroth.Cell01.pX(5,0)"
103,A3547A2D-3C03-4758-9521-3869C9A06B35,"RowA.Cell01.VisioFroth.Cell01.pX(6,0)"
104,BB65EBB1-354C-4E4E-91AD-F7861E68BD4F,"RowA.Cell01.VisioFroth.Cell01.pX(7,0)"
105,BE7199E3-E8B8-47D8-ADBD-47A98743ADE7,"RowA.Cell01.VisioFroth.Cell01.pX(8,0)"
106,C26D8CE8-D089-41E6-B327-6C52C63475B7,"RowA.Cell01.VisioFroth.Cell01.pX(9,0)"
107,218F49D1-0A08-429C-BF82-9C90730D37B9,RowA.Cell01.VisioFroth.Cell01.Collapse
108,FF203BB3-83D2-4C30-BD3C-C9DEBF525C01,RowA.Cell01.VisioFroth.Cell01.Load
109,AFC52F09-BE98-4D10-A51D-9064B3A9EBC1,RowA.Cell01.VisioFroth.Cell01.Texture
110,8B8A6E35-C8D2-45CA-B671-C0A260FAB177,RowA.Cell01.VisioFroth.Cell01.FramesPerSec
111,9C842668-28B7-4B66-865B-6CBDE0EF57FE,RowA.Cell01.VisioFroth.Cell01.FramesPerSec_Src
112,1CF58B40-55EE-46EB-A085-C6C161DDA9D6,RowA.Cell01.VisioFroth.Cell01.ImProcessing
113,D32AE861-BFEC-48C5-BB7F-10E57C610A0A,RowA.Cell01.VisioFroth.Cell01.Brightness
114,C18FCE13-6D31-4BD3-A804-5AB4EB2699F7,RowA.Cell01.VisioFroth.Cell01.RGB_Red
115,B828D0B2-72E0-4DE2-A093-E01CF6B9F185,RowA.Cell01.VisioFroth.Cell01.RGB_Green
116,B9DBC709-4D0F-4667-8320-AA1F0A4C5A59,RowA.Cell01.VisioFroth.Cell01.RGB_Blue
117,60D30284-88F9-4F29-A9F7-E7D51B2D2BE6,RowA.Cell01.VisioFroth.Cell01.LAB_Luminance
118,3E31AC74-C73B-4075-9DFA-5EB037AE2EAE,RowA.Cell01.VisioFroth.Cell01.LAB_ax
119,1BEF9157-43EA-4CB9-B018-40DE2B2DE1CA,RowA.Cell01.VisioFroth.Cell01.LAB_bx
120,D797C77A-46D1-4DF0-A046-976D22C1BAD5,RowA.Cell01.VisioFroth.Cell01.RGBColor
121,321C9C5B-444B-43B8-BFCA-5F38A2B145F7,RowA.Cell01.VisioFroth.Cell01
122,D204A354-66CA-49B3-86E5-6CC19670FC46,System.Communication.Heartbeat.Read
123,CFEED567-AA9D-48C6-8E30-08F5740153BD,System.Communication.Heartbeat.Write
124,4F4E0DF3-E1FB-4E7A-A9B3-FD6EB2434295,System.Communication.OK
125,206A0462-6854-407C-80E1-44B0177B164B,System.FrameRateMin
126,DDB5662D-C187-4277-A3A2-8D7C5F52B8B0,System.OCS.StartupTimer
127,60BBBC32-784F-4476-9D6F-F63D5C7145E2,System.ScanCycle
128,51F13658-EF81-4D81-A14B-C209C1DE09D8,RowA.Cell01.Air.SP.TuningFactor
129,54E1EE69-C7ED-43B8-9037-C83E1D9FD406,RowA.Cell01.Air.SP.MaxSPminusPV
130,A6AB7683-9A57-473B-82B2-DF60A30E2267,RowA.Cell01.Air.SP.MinSPminusPV
131,CD1EAA65-FC0F-4813-A7FB-A2532755A1FF,RowA.Cell02.Agitator.RunStatus
132,1414CCD8-5656-418A-83C6-28E79BB7CF1A,RowA.Cell05.Camera.XVelocity
133,B0BC9219-B73C-44B8-8B38-758E76337B1E,RowA.Cell02.Camera.Brightness.HL
134,307930A0-F58C-4604-A06E-7F43377B11B4,RowA.Cell02.Camera.Brightness.LL
135,8BBE8FEB-E376-456C-9CF1-C6EA7C5FBE44,RowA.Cell04.Camera.XVelocity
136,EE5B31C9-CFDE-4F75-A442-444EB7415DE3,RowA.Cell02.Camera.Collapse
137,C142ABDA-5E65-42E3-B2A6-B91A154C41C3,RowA.Cell02.Camera.D50
138,4CDD529D-A89E-4615-9B70-BBBA36D9F6B3,RowA.Cell02.Camera.Dirty
139,35A81594-2629-41E9-BC6F-93E2F2CF88C3,RowA.Cell02.Camera.Disconnected
140,38E60D16-189B-4ED6-A9FF-14AAAD943CC1,RowA.Cell02.Camera.FrothStability
141,0759DBE0-56F2-4DC5-BF5D-AFCD90D66E39,RowA.Cell02.Camera.Frozen
142,3F608F4B-AA4A-4481-BD9D-A5B4F916A386,RowA.Cell02.Camera.LAB.AX
143,04297602-DD80-4FD4-9CDE-68F8EC863F1D,RowA.Cell02.Camera.LAB.BX
144,CA8D5CB6-C8FB-4D81-AED1-A03D7359FD6E,RowA.Cell02.Camera.LAB.Luminance
145,86CB528E-1293-4064-B434-F3EC64FC5222,RowA.Cell02.Camera.Load
146,61DE3EEC-D5D2-43BB-9A8A-C654F818F730,RowA.Cell02.Camera.LowFrames
147,8603CFA7-28C3-450A-B6AA-FEA9CD8AE329,RowA.Cell02.Camera.OK
148,488FDE7C-41B4-4FAB-A3ED-84439AE445E6,RowA.Cell02.Camera.Texture
149,EB147700-EC9B-425A-85B4-6D36FF57402E,RowA.Cell02.Camera.Velocity
150,F7A2BE2B-FE24-406C-944A-5161D715BAD5,RowA.Cell02.Air.Control.Expert
151,D8CE4B5A-DABD-466A-9D28-0E6B3F32B1F6,RowA.Cell02.Control.Ready
152,AA679EC6-87BF-446D-B5E9-714268044A78,RowA.Cell02.Air.ApplySP.Timer
153,1A38B17D-7B7F-4CBD-9E8A-D86FE178FEF2,RowA.Cell02.Air.HL.DelayTimer
154,4F63BD75-85FE-4E21-982D-03EEEDCDEF13,RowA.Cell02.Air.HL.Dynamic
155,DDC1F5E2-9779-4452-8721-7E5D7D840458,RowA.Cell02.Air.LL.Dynamic
156,97B4288C-063B-4952-8344-50F851BE3A8F,RowA.Cell02.Air.NSP
157,73AB6328-E841-43A9-A185-43575CF9B1A9,RowA.Cell02.Air.OUT
158,60B71286-6952-492D-A08A-081F192526ED,RowA.Cell02.Air.OUT.Read
159,C4CD33F5-1EB1-442E-9E10-7459326E3ED7,RowA.Cell02.Air.SP.Change.Em_Inc
160,8CABA930-B349-4CA8-9601-45EAA61BB7F2,RowA.Cell02.Air.SP.Change.Em_Dec
161,9A98B5A3-AF85-447B-BBC7-0131026ACA5D,RowA.Cell02.Air.SP.Change.Lg_Inc
162,E43A5425-99E2-4C7B-9B76-07F174822206,RowA.Cell02.Air.SP.Change.Lg_Dec
163,AD0AAAA4-1C7B-4DFD-9D17-80221D1039FD,RowA.Cell02.Air.SP.Change.Sm_Inc
164,C43BEC8E-CC60-4CC7-B915-43539AD818E8,RowA.Cell02.Air.SP.Change.Sm_Dec
165,0BB49D86-4E2F-4CB4-9A95-99B055D7F722,RowA.Cell02.Air.SP.Change.Nil
166,72699C06-5538-4073-9FE6-ACCDAA45C6DA,RowA.Cell02.Air.SP.Change
167,2ED33173-87B9-4CBE-B2BD-28ECA2461ABA,RowA.Cell02.Air.OUT.HL
168,3ACA9960-D0E6-4574-9C93-A294346D2E7C,RowA.Cell02.Air.OUT.LL
